product_id,category,sub_category
1,Furniture,Chairs
2,Furniture,Chairs
3,Furniture,Chairs
4,Furniture,Chairs
5,Furniture,Chairs
6,Furniture,Tables
7,Furniture,Tables
8,Furniture,Tables
9,Furniture,Tables
10,Furniture,Tables
11,Furniture,Bookcases
12,Furniture,Bookcases
13,Furniture,Bookcases
14,Furniture,Bookcases
15,Furniture,Bookcases
16,Technology,Phones
17,Technology,Phones
18,Technology,Phones
19,Technology,Phones
20,Technology,Phones
21,Technology,Accessories
22,Technology,Accessories
23,Technology,Accessories
24,Technology,Accessories
25,Technology,Accessories
26,Technology,Laptops
27,Technology,Laptops
28,Technology,Laptops
29,Technology,Laptops
30,Technology,Laptops
31,Office Supplies,Binders
32,Office Supplies,Binders
33,Office Supplies,Binders
34,Office Supplies,Binders
35,Office Supplies,Binders
36,Office Supplies,Paper
37,Office Supplies,Paper
38,Office Supplies,Paper
39,Office Supplies,Paper
40,Office Supplies,Paper
41,Office Supplies,Storage
42,Office Supplies,Storage
43,Office Supplies,Storage
44,Office Supplies,Storage
45,Office Supplies,Storage
